rank,name,clan,sponsor,country iso,flag link
1,天鸽,EG.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
2,Quinn,QCY.,.Tree#4,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
3,ヒーロー狩り,,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
4,Bryle,cat.,,,
5,Gunnar,4Zs.,.you cute,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
6,Frankie Knuckles,,,,
7,Moo,business.,.ꜝꜝʕ•ᴥ•ʔꜝꜝ,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
8,SVG,QCY.,.11,,
9,Sammyboy,4Zs.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
10,darkesthj,,.Bankotsu,,
11,Lelis,,,,
12,Wisper,bc.,.Betway,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
13,SumaiL-,,,pk,http://community.cloudflare.steamstatic.com/public/images/countryflags/pk.gif
14,Kōtarō,,,gs,http://community.cloudflare.steamstatic.com/public/images/countryflags/gs.gif
15,pakazs,Infamous.,,,
16,Kitzz,,,ph,http://community.cloudflare.steamstatic.com/public/images/countryflags/ph.gif
17,RRL,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
18,Sacred,EGO.,.Mar<3 love,,
19,Fly,EG.,,il,http://community.cloudflare.steamstatic.com/public/images/countryflags/il.gif
20,Brax,4Zs.,.NoMatterWhat,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
21,Ðrakeel,Unknown.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
22,Kitrak,,,,
23,LIES,NoPango.,,,
24,Sneyking,C9.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
25,Thiolicor,SG.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
26,Tiange2015,,,,
27,Kat Smurf,,,,
28,Jano,Vinary.,,mx,http://community.cloudflare.steamstatic.com/public/images/countryflags/mx.gif
29,MNZ,ThunderP.,,,
30,,,,,
31,Ryoya,BH.,.猪猪,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
32,ROFLMAO,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
33,MSS,QCY.,.Felidae,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
34,FLee,,,,
35,JohnJohn,TG.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
36,esK,.,,mx,http://community.cloudflare.steamstatic.com/public/images/countryflags/mx.gif
37,BSJ,,,,
38,YawaR,QCY.,,pk,http://community.cloudflare.steamstatic.com/public/images/countryflags/pk.gif
39,DuBu,,,kr,http://community.cloudflare.steamstatic.com/public/images/countryflags/kr.gif
40,Timo,G-pride.,.R08<3,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
41,Husky,4Zs.,.TheWarPath,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
42,dx,,,,
43,////////////////,..,,jp,http://community.cloudflare.steamstatic.com/public/images/countryflags/jp.gif
44,,,,,
45,DarkMago♥,Ωmega.,,,
46,dnm,..,,,
47,MoonMeander,cat.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
48,Madaroid^,,.AAAAAAAAAAAAAAAA,,
49,Chris Luck,bc.,.❤betway♥duh,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
50,Matthew~,Ωmega.,,,
51,H.Q,,,,
52,dafuqq,,,,
53,Mjz,ThunderP.,,,
54,SexyeYogye,Infinity.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
55,NaoG,EGO.,.Shiregi♡♡,,
56,Wij,Unknown.,,ar,http://community.cloudflare.steamstatic.com/public/images/countryflags/ar.gif
57,mason,zoo.,,,
58,Scourge McDuck,my b.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
59,Michael-,,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
60,zero,,,,
61,NLF,,,jp,http://community.cloudflare.steamstatic.com/public/images/countryflags/jp.gif
62,yoyoyo,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
63,My Beautiful Madness,,,,
64,Rises,,,,
65,mingatte,Ωmega.,.YIYOS,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
66,Migi,Fantasy.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
67,G.PRIDE,GID.,,,
68,os menino dixava,,,,
69,Raykill,Infinity.,,ve,http://community.cloudflare.steamstatic.com/public/images/countryflags/ve.gif
70,iAnnihilate,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
71,red2,Plasma.,,,
72,Kingrd,SG.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
73,elmisho,Hokori.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
74,.,Deity.,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
75,Vitaly,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
76,"!""#$%$#&(/)=?",XS.,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
77,Smash,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
78,Swan Song,,,,
79,Michael-,Infamous.,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
80,4nalog~,,.zxc,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
81,☭ kj ☭,SG.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
82,Dreamer,GM.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
83,dota.thetoo,,,,
84,vanN. A&N <3,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
85,Szabo666,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
86,ixmike88,BH.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
87,ScofielD EL SOLIIIII,bc.,.Betway,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
88,Pamplona,Infinity.,.ioa♥,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
89,Monster,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
90,Neko,,,,
91,gringo,,,bw,http://community.cloudflare.steamstatic.com/public/images/countryflags/bw.gif
92,八紘稣翊,,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
93,Leostyle-,ThunderP.,,,
94,SoNiC,C.,. ! DTS|Dendi^ !,,
95,Panthera,DTS.,,,
96,TaO,G-pride.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
97,Creep-,Wdr.,,,
98,Benny,Incubus.,,,
99,aikster,5mm.,,,
100,Alone,EGO.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
101,Froogoss,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
102,NAna,(ノ・∀・)ノ.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
103,"Sc Cris""",,,,
104,devilman,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
105,MoOz,business.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
106,Benjaz,G-pride.,,,
107,mrxsmurf,,,,
108,Papatooty,,,fr,http://community.cloudflare.steamstatic.com/public/images/countryflags/fr.gif
109,♥F统K治Y力♥,AlphaGo2.0.,,,
110,Fear,business.,.Bunny,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
111,asd,123.,,,
112,no ego,,,,
113,Cucahook,LXG.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
114,´das,,,,
115,BuLba,123.,,,
116,Mr.Jeans,Infamous.,.Cathlyn,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
117,EstroYER,Incubus.,,,
118,slad1n-,,,,
119,ins,EGO.,,ax,http://community.cloudflare.steamstatic.com/public/images/countryflags/ax.gif
120,Arms,Infinity.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
121,DarkMago♥,動機.,,,
122,希望,57.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
123,YadomiJN,Unknown.,.希望,,
124,PiPi,Infinity.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
125,Shoe,C.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
126,酸梅汤,SMT.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
127,fcr,,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
128,twitch.tv/k13tv,2.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
129,ASD,.,,,
130,Aretes,Incubus.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
131,hyko,RD.,.♡F,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
132,P3,Wdr.,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
133,Balalaika,,,,
134,YojiroNoda,mol-74.,,,
135,Emochu,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
136,twitch.tv/k13tv,1.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
137,綠綠,VB.,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
138,oldWhite,,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
139,LucifersDance,,,al,http://community.cloudflare.steamstatic.com/public/images/countryflags/al.gif
140,barsa,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
141,1515,GG.,,,
142,Monkeys-forever,,,,
143,Steel-_-Borco,BlackIce.,,kz,http://community.cloudflare.steamstatic.com/public/images/countryflags/kz.gif
144,POOPKID,WS.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
145,awa',LFF.,,,
146,Rusy,TNA.,,,
147,H1j4ck,,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
148,im sure,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
149,dogplayer,LFT.,,,
150,XDDDDDDDDDDDDDDDDDDDDD,,,,
151,QXD,QxD .,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
152,zhizhizhi,MYM.,,ru,http://community.cloudflare.steamstatic.com/public/images/countryflags/ru.gif
153,Asdfk,CiP.,.Ðrk,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
154,Yamsun,C.,.pressure,,
155,Popotter 3.0,,,,
156,ocean,4Zs.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
157,ᴀɢᴇɴᴛ ᴋ,,,,
158,zy¿没事没事´¡,,,,
159,Vietñam,Freetoplay.,,,
160,Nameless9299,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
161,Panda,Ωmega.,.xd,,
162,UnderratedGenius,BlackIce.,,,
163,Helaine,SM.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
164,444,,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
165,Kalazard,SUNGA777.,,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
166,Prada,EGO.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
167,Coreplayer,GOD.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
168,Burning-dd,,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
169,TechiesSenior,ThunderP.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
170,J e i ma r i,,,,
171,Sanuolf,,,ru,http://community.cloudflare.steamstatic.com/public/images/countryflags/ru.gif
172,xdxqdqsq,iG.V.,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
173,Prince,,,ph,http://community.cloudflare.steamstatic.com/public/images/countryflags/ph.gif
174,7,,,,
175,old Yoda,bs.,,vn,http://community.cloudflare.steamstatic.com/public/images/countryflags/vn.gif
176,反叛54321971,,,,
177,Virsatus,LGDB .,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
178,MisteriuS,,,cl,http://community.cloudflare.steamstatic.com/public/images/countryflags/cl.gif
179,ryzeK-,,,,
180,na_m1de_rak,,,kz,http://community.cloudflare.steamstatic.com/public/images/countryflags/kz.gif
181,USH,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
182,Jubei,,,,
183,FeelinG!,WarriorZ.,.♥,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
184,F,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
185,Cara,G-pride.,.kitsune神,,
186,LazyJinn,CHS.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
187,murd0c,HavanL.,.cc,br,http://community.cloudflare.steamstatic.com/public/images/countryflags/br.gif
188,Finesse,whoareyou.,,jp,http://community.cloudflare.steamstatic.com/public/images/countryflags/jp.gif
189,Bloody Nine,bs.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
190,_,_.,,,
191,Minna,C9.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
192,ana smurf,x.,,,
193,Versatile,BP.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
194,Odyssey,Oversight.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
195,Kath,Wings.,,ph,http://community.cloudflare.steamstatic.com/public/images/countryflags/ph.gif
196,peterpandam,NiP.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
197,GyO♥,,,,
198,,﷽﷽﷽﷽﷽﷽﷽﷽﷽﷽.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
199,Hisoka,Hokori.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
200,18,,,,
201,ZFreek,OG.S.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
202,Allen,Stars.,,,
203,Paradise,DemSlay.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
204,AlienManaBanana,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
205,Fayde,,,,
206,tanya,WarriorZ.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
207,Dreee,,,,
208,Brats-,YSL.,,,
209,恶霸刻小度,,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
210,Jennie,XolotlA.,,kr,http://community.cloudflare.steamstatic.com/public/images/countryflags/kr.gif
211,her,,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
212,.,415.,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
213,Manolo,,,,
214,1111111111111111,,,,
215,Regemind,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
216,BSJ,,,ru,http://community.cloudflare.steamstatic.com/public/images/countryflags/ru.gif
217,Hypnos,,,,
218,¡ElAmOrOsO!,,,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
219,Corvette,TkS.,,,
220,xpp,MLG.,,ru,http://community.cloudflare.steamstatic.com/public/images/countryflags/ru.gif
221,KAEL,,,,
222,Sheer_,QxD .,,,
223,Hermit,JG.,,ar,http://community.cloudflare.steamstatic.com/public/images/countryflags/ar.gif
224,Lightshader,,,cn,http://community.cloudflare.steamstatic.com/public/images/countryflags/cn.gif
225,rohofireflu,,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
226,Black Soul,VG.,,bo,http://community.cloudflare.steamstatic.com/public/images/countryflags/bo.gif
227,catfish,,,,
228,Ame's boy,NL.,,,
229,Moonlight,Hokori.,,cl,http://community.cloudflare.steamstatic.com/public/images/countryflags/cl.gif
230,@Valqui / 외로운 본질,Infinity.,.21,pe,http://community.cloudflare.steamstatic.com/public/images/countryflags/pe.gif
231,Mio,,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
232,quoarine,,,,
233,pingu,NoPango.,,ca,http://community.cloudflare.steamstatic.com/public/images/countryflags/ca.gif
234,Duychinni,TKS.,,us,http://community.cloudflare.steamstatic.com/public/images/countryflags/us.gif
235,dedsc,,,,
236,FrisB,,,,
